Period,Ax,Bx,Gap,Au,Lam,Force
950,115,315,420,70,0.636,-2.50E-10
950,115,315,420,70,0.638,-2.62E-10
950,115,315,420,70,0.64,-2.86E-10
950,115,315,420,70,0.642,-1.04E-10
950,115,315,420,90,0.632,-2.68E-10
950,115,315,420,90,0.634,-2.85E-10
950,115,315,420,90,0.636,-2.96E-10
950,115,315,420,90,0.638,-3.05E-10
950,115,315,420,90,0.64,-3.16E-10
950,115,315,420,90,0.642,-2.51E-10
950,115,315,420,110,0.632,-2.52E-10
950,115,315,420,110,0.634,-2.70E-10
950,115,315,420,110,0.636,-2.80E-10
950,115,315,420,110,0.638,-2.89E-10
950,115,315,420,110,0.64,-2.97E-10
950,115,315,420,110,0.642,-2.75E-10
950,115,315,420,130,0.632,-2.41E-10
950,115,315,420,130,0.634,-2.58E-10
950,115,315,420,130,0.636,-2.69E-10
950,115,315,420,130,0.638,-2.77E-10
950,115,315,420,130,0.64,-2.84E-10
950,115,315,420,130,0.642,-2.79E-10
950,115,315,420,150,0.632,-2.36E-10
950,115,315,420,150,0.634,-2.54E-10
950,115,315,420,150,0.636,-2.64E-10
950,115,315,420,150,0.638,-2.72E-10
950,115,315,420,150,0.64,-2.79E-10
950,115,315,420,150,0.642,-2.80E-10
950,115,335,20,50,0.632,-1.24E-10
950,115,335,20,50,0.634,-1.13E-10
950,115,335,20,50,0.636,-9.97E-11
950,115,335,20,50,0.638,-7.57E-11
950,115,335,20,50,0.64,-1.35E-11
950,115,335,20,50,0.642,-8.76E-11
950,115,335,20,70,0.632,-5.43E-11
950,115,335,20,70,0.634,-4.40E-11
950,115,335,20,70,0.636,-3.17E-11
950,115,335,20,70,0.638,-1.22E-11
950,115,335,20,70,0.64,2.55E-11
950,115,335,20,70,0.642,-7.63E-11
950,115,335,20,90,0.632,-4.63E-12
950,115,335,20,90,0.634,2.59E-12
950,115,335,20,90,0.636,9.65E-12
950,115,335,20,90,0.638,1.87E-11
950,115,335,20,90,0.64,3.15E-11
950,115,335,20,90,0.642,-3.28E-11
950,115,335,20,110,0.632,1.06E-11
950,115,335,20,110,0.634,1.50E-11
950,115,335,20,110,0.636,1.86E-11
950,115,335,20,110,0.638,2.25E-11
950,115,335,20,110,0.64,2.70E-11
950,115,335,20,110,0.642,-7.28E-13
950,115,335,20,130,0.632,1.32E-11
950,115,335,20,130,0.634,1.65E-11
950,115,335,20,130,0.636,1.89E-11
950,115,335,20,130,0.638,2.11E-11
950,115,335,20,130,0.64,2.34E-11
950,115,335,20,130,0.642,1.33E-11
950,115,335,20,150,0.632,1.34E-11
950,115,335,20,150,0.634,1.64E-11
950,115,335,20,150,0.636,1.84E-11
950,115,335,20,150,0.638,2.01E-11
950,115,335,20,150,0.64,2.17E-11
950,115,335,20,150,0.642,1.86E-11
950,115,335,70,50,0.632,-9.57E-11
950,115,335,70,50,0.634,-8.43E-11
950,115,335,70,50,0.636,-7.28E-11
950,115,335,70,50,0.638,-5.39E-11
950,115,335,70,50,0.64,1.14E-11
950,115,335,70,50,0.642,-3.76E-10
