Period,Ax,Bx,Gap,Au,Lam,Predicted,Actual,,,,,,,,,,,,,,
950,135,275,220,150,0.632,0.405945472020757,2.31739727838299,,,,,,,,,,,,,,
950,175,335,270,70,0.634,-0.00520953882360509,-1.1530964243465,,,,,,,,,,,,,,
1100,175,255,70,70,0.636,-0.263372029639183,-0.67689562521938,,,,,,,,,,,,,,
1050,115,315,120,150,0.636,0.835732068255554,1.32170469838991,,,,,,,,,,,,,,
1200,195,315,370,110,0.64,-0.20460950872049,-0.615566734422705,,,,,,,,,,,,,,
1100,195,335,420,150,0.636,-1.15467213700162,-1.5860062417348,,,,,,,,,,,,,,
1050,155,215,70,50,0.642,-0.422674425363408,-0.129264706223187,,,,,,,,,,,,,,
950,135,275,220,70,0.634,0.255411408023479,0.989807171725555,,,,,,,,,,,,,,
1000,195,215,70,50,0.642,-0.386426131013352,-0.207549231534237,,,,,,,,,,,,,,
1000,135,255,220,90,0.636,0.369922642004583,1.56341267976505,,,,,,,,,,,,,,
1200,175,215,220,150,0.636,0.494743869587494,0.17954429684713,,,,,,,,,,,,,,
1100,135,255,270,110,0.636,0.392051360959141,1.64638706143114,,,,,,,,,,,,,,
1150,175,315,370,70,0.636,-0.284938757455508,-0.425447172953012,,,,,,,,,,,,,,
1150,115,295,170,110,0.638,0.576214143065232,0.896010044624758,,,,,,,,,,,,,,
1150,195,295,20,90,0.642,-0.467401233805446,-0.153796262541857,,,,,,,,,,,,,,
950,155,315,370,50,0.636,-0.647042641110667,0.336834863831544,,,,,,,,,,,,,,
1100,195,255,270,110,0.642,0.254844422549277,0.737276444915717,,,,,,,,,,,,,,
1200,135,235,370,150,0.634,0.129053220176513,0.300759045715853,,,,,,,,,,,,,,
950,135,215,420,150,0.634,-1.23507380228703,-1.17834949702749,,,,,,,,,,,,,,
1200,175,235,370,70,0.632,-0.0916954997262538,-0.0971211522821062,,,,,,,,,,,,,,
950,115,295,170,70,0.636,0.345534718268445,2.1298030241814,,,,,,,,,,,,,,
1100,195,275,370,150,0.636,-0.377002887883167,-1.28296936956299,,,,,,,,,,,,,,
1000,135,335,20,70,0.642,-0.135632922143696,-0.117720444426166,,,,,,,,,,,,,,
1100,135,295,320,70,0.642,0.036487565882255,0.195056898636877,,,,,,,,,,,,,,
1000,175,255,220,90,0.638,0.302396751892248,0.885187299190051,,,,,,,,,,,,,,
1050,195,235,70,50,0.632,-0.416397413695523,-0.464048298336802,,,,,,,,,,,,,,
950,155,295,120,130,0.634,0.503761695357791,0.986199589913986,,,,,,,,,,,,,,
1100,175,295,320,70,0.638,-0.0278855867768071,-0.108232504261739,,,,,,,,,,,,,,
1200,155,335,270,150,0.638,0.570511922938232,2.526637023454,,,,,,,,,,,,,,
1200,155,335,120,110,0.638,0.341264552480105,0.128316635122848,,,,,,,,,,,,,,
950,195,235,220,90,0.636,0.190240290546169,0.219588454955547,,,,,,,,,,,,,,
1000,155,215,420,150,0.638,-1.02293146297872,-1.28296936956299,,,,,,,,,,,,,,
1200,195,315,370,90,0.64,-0.229795998239793,-0.438795225655818,,,,,,,,,,,,,,
1000,135,275,220,150,0.634,0.546350915032105,2.40758682367222,,,,,,,,,,,,,,
1100,135,315,120,70,0.636,0.215331562561942,-0.16858734796929,,,,,,,,,,,,,,
1150,135,335,120,50,0.634,-0.0513020702660363,-1.64733513253147,,,,,,,,,,,,,,
1000,195,275,270,130,0.632,0.150013097705206,-0.249397180548439,,,,,,,,,,,,,,
1000,175,235,220,50,0.64,0.122794183749552,-0.132872288034756,,,,,,,,,,,,,,
950,175,215,20,90,0.642,-0.362788846770172,-0.0883908042981089,,,,,,,,,,,,,,
950,175,235,420,70,0.634,-0.866998911329819,0.315189372962129,,,,,,,,,,,,,,
1100,115,335,170,110,0.636,0.678164843812082,2.2236001512822,,,,,,,,,,,,,,
950,175,335,20,150,0.638,0.232330709927684,-0.0131005718906613,,,,,,,,,,,,,,
1050,155,235,370,110,0.634,-0.282101627041641,-0.976324915579617,,,,,,,,,,,,,,
950,155,335,20,110,0.638,0.0815107297161157,-0.0521706829099549,,,,,,,,,,,,,,
1100,155,215,20,110,0.636,-0.350397839366087,-0.0730946574170558,,,,,,,,,,,,,,
950,175,235,320,130,0.642,-0.250502130466515,-1.12423576985395,,,,,,,,,,,,,,
1150,175,335,120,150,0.642,0.708151293645653,1.26037580759324,,,,,,,,,,,,,,
950,195,275,70,70,0.64,-0.0462607276214255,-0.150549438911445,,,,,,,,,,,,,,
1100,195,255,370,150,0.636,-0.32736175923896,-0.84284438855156,,,,,,,,,,,,,,
950,195,235,220,110,0.638,0.226955386543808,0.380125845570373,,,,,,,,,,,,,,
1000,135,255,420,130,0.632,-1.06458080796758,-1.39119682391007,,,,,,,,,,,,,,
1100,115,295,420,90,0.632,-0.678715807349125,-1.71587918695129,,,,,,,,,,,,,,
1000,135,235,220,150,0.64,0.518632668441912,2.29935936932515,,,,,,,,,,,,,,
1000,135,295,120,150,0.642,0.706898244512585,3.78568307569163,,,,,,,,,,,,,,
1000,155,215,270,50,0.638,0.083188726422212,-0.250118696910753,,,,,,,,,,,,,,
1150,195,235,170,110,0.642,0.239728161694709,0.344050027454682,,,,,,,,,,,,,,
1000,155,335,270,90,0.64,0.140952032809275,-0.835629224928421,,,,,,,,,,,,,,
1000,175,295,220,50,0.638,0.179658549722293,0.542467027090984,,,,,,,,,,,,,,
1200,115,335,70,110,0.634,0.17280901659134,-0.146220340737562,,,,,,,,,,,,,,
1100,135,335,170,110,0.642,0.640880960124981,2.78999049569855,,,,,,,,,,,,,,
1100,135,335,20,150,0.64,0.379171032564598,0.0788927643043514,,,,,,,,,,,,,,
1000,175,335,370,70,0.636,-0.646747466773554,-1.25050113325887,,,,,,,,,,,,,,
1150,115,315,70,110,0.632,0.264448217652141,-0.169669622512761,,,,,,,,,,,,,,
1200,175,275,370,110,0.636,-0.0735895548498062,-0.0210372518761133,,,,,,,,,,,,,,
1000,135,235,20,50,0.636,-0.570600843959326,-0.832021643116852,,,,,,,,,,,,,,
