Period,Ax,Bx,Gap,Au,Lam,Predicted,Actual
950.0,155.0,235.0,420.0,50.0,0.642,-3.125295142788441e-10,-3.35e-10
950.0,155.0,255.0,270.0,70.0,0.638,6.849244800037213e-12,1.5800000000000001e-12
950.0,175.0,335.0,70.0,130.0,0.642,1.0513925410911815e-10,1.39e-10
950.0,155.0,235.0,220.0,50.0,0.638,-1.1693702084038422e-10,-9.37e-11
950.0,135.0,255.0,220.0,70.0,0.64,2.7127795694410394e-10,2.76e-10
950.0,195.0,275.0,20.0,50.0,0.642,-8.731701523452407e-11,-6.13e-11
950.0,175.0,215.0,120.0,150.0,0.634,7.815530061434029e-11,5.27e-11
950.0,175.0,295.0,120.0,50.0,0.642,-3.2313721657498796e-10,-2.63e-10
950.0,155.0,235.0,420.0,50.0,0.64,4.2980821841156196e-11,9.96e-11
950.0,175.0,275.0,420.0,90.0,0.64,-2.259875086929866e-11,-6.71e-11
950.0,155.0,295.0,270.0,50.0,0.64,-6.306299574788496e-12,2.0800000000000002e-11
950.0,135.0,235.0,20.0,150.0,0.634,5.620996290120015e-12,-6.56e-13
950.0,135.0,235.0,270.0,110.0,0.642,1.8478115662887588e-10,2.12e-10
950.0,155.0,335.0,270.0,50.0,0.636,-1.1994787449782545e-10,-1.1e-10
950.0,195.0,335.0,170.0,70.0,0.636,1.8689586471218735e-10,1.98e-10
950.0,115.0,295.0,320.0,110.0,0.632,-7.274099621337269e-10,-8e-10
950.0,155.0,295.0,220.0,70.0,0.638,1.4247498687389287e-10,1.5500000000000003e-10
950.0,115.0,315.0,370.0,150.0,0.638,-6.775797369043349e-10,-6.63e-10
950.0,135.0,295.0,370.0,130.0,0.634,-5.798329480802377e-10,-5.41e-10
950.0,195.0,315.0,20.0,90.0,0.64,4.11799335530101e-12,-4.21e-12
950.0,115.0,295.0,120.0,110.0,0.636,3.6671775959176145e-10,3.5600000000000006e-10
950.0,135.0,255.0,20.0,150.0,0.642,8.47220102166947e-12,4.32e-12
950.0,195.0,315.0,170.0,110.0,0.64,3.3539006645292346e-10,3.61e-10
950.0,175.0,295.0,70.0,130.0,0.634,4.3993395851775636e-11,6.72e-11
950.0,135.0,275.0,170.0,150.0,0.642,6.321121451284679e-10,6.04e-10
950.0,115.0,315.0,120.0,130.0,0.634,3.701798179371736e-10,4.01e-10
950.0,155.0,275.0,320.0,130.0,0.642,-5.628986125417821e-10,-5.79e-10
950.0,175.0,215.0,170.0,150.0,0.642,1.9422459983595131e-10,1.75e-10
950.0,155.0,255.0,320.0,130.0,0.638,-4.3344861228040755e-10,-4.58e-10
950.0,175.0,275.0,420.0,150.0,0.634,-3.1928972794211734e-11,-7.39e-11
950.0,135.0,235.0,320.0,130.0,0.638,-2.8927524131434357e-10,-3.01e-10
950.0,135.0,275.0,270.0,50.0,0.634,-4.297405969684582e-12,1.07e-12
950.0,175.0,335.0,270.0,130.0,0.632,-5.299510797455247e-10,-5.44e-10
950.0,135.0,275.0,420.0,90.0,0.634,-2.2930548418613579e-10,-2.17e-10
950.0,135.0,235.0,170.0,110.0,0.64,4.23231065611098e-10,4.04e-10
950.0,195.0,275.0,370.0,50.0,0.64,6.644544766873297e-11,7.300000000000002e-11
950.0,155.0,295.0,320.0,130.0,0.642,-6.307832500337059e-10,-6.23e-10
950.0,175.0,295.0,270.0,70.0,0.636,-1.499323685003658e-10,-1.3e-10
950.0,135.0,335.0,270.0,150.0,0.64,-5.14540227319032e-10,-5.56e-10
950.0,155.0,275.0,220.0,130.0,0.638,4.4486745339139476e-10,4.79e-10
950.0,195.0,235.0,370.0,150.0,0.634,-1.611222903510964e-10,-1.35e-10
950.0,175.0,255.0,70.0,50.0,0.64,-1.1624973591299416e-10,-7.63e-11
950.0,155.0,335.0,420.0,150.0,0.638,-9.472009745235674e-11,-5.32e-11
950.0,195.0,215.0,120.0,50.0,0.634,-4.407118684967647e-11,-6.13e-11
950.0,155.0,335.0,120.0,90.0,0.64,3.937871443800159e-10,3.670000000000001e-10
950.0,135.0,315.0,170.0,130.0,0.642,7.787220865037013e-10,7.32e-10
950.0,175.0,215.0,370.0,70.0,0.638,2.1119784136868114e-11,1.93e-11
950.0,195.0,215.0,420.0,150.0,0.634,-3.883716937289655e-11,-3.14e-11
950.0,175.0,335.0,320.0,150.0,0.634,-4.1138506549589374e-10,-3.78e-10
950.0,195.0,255.0,220.0,110.0,0.636,1.3561139265461547e-10,1.64e-10
950.0,155.0,255.0,220.0,110.0,0.634,3.8893863041041497e-10,4.14e-10
950.0,195.0,235.0,170.0,150.0,0.634,1.8708694952126476e-10,1.75e-10
950.0,175.0,295.0,320.0,70.0,0.638,-1.0085787212184749e-10,-1.29e-10
950.0,195.0,335.0,20.0,110.0,0.64,3.5136799675385327e-11,1.02e-11
950.0,175.0,275.0,70.0,90.0,0.64,1.929030569815972e-11,4.84e-11
950.0,135.0,315.0,70.0,50.0,0.638,-1.2774358773610185e-10,-1.59e-10
950.0,195.0,235.0,220.0,110.0,0.638,1.2002851317425153e-10,1.26e-10
950.0,155.0,295.0,70.0,70.0,0.632,-1.2635956027027676e-10,-1.42e-10
950.0,155.0,335.0,370.0,130.0,0.632,-1.7290702734561456e-10,-2.17e-10
950.0,135.0,295.0,70.0,130.0,0.632,8.564503016329999e-11,6.44e-11
950.0,155.0,215.0,220.0,110.0,0.632,2.223736617477224e-10,2.43e-10
